QualifiedName,Name,Complexity,Coupling,Size,Lack of Cohesion,CBO,RFC,SRFC,DIT,NOC,WMC,LOC,CMLOC,NOF,NOSF,NOM,NOSM,NORM,LCOM,LCAM,LTCC,ATFD,SI
com.serotonin.mango.vo.dataSource.virtual.VirtualPointLocatorVO,VirtualPointLocatorVO,low-medium,high,medium-high,very-high,21,65,23,2,0,48,243,142,12,2,31,0,0,0.872,0.907,0.923,1,0
com.serotonin.mango.vo.User,User,medium-high,medium-high,very-high,very-high,11,74,11,1,0,71,253,168,25,0,62,0,0,0.968,0.912,0.958,1,0
com.serotonin.mango.view.text.TextRenderer,TextRenderer,low,low,low,medium-high,3,17,0,1,1,17,27,17,0,9,17,0,0,0,0.706,1,0,0
com.serotonin.mango.vo.dataSource.AbstractPointLocatorVO,AbstractPointLocatorVO,low,low,low,medium-high,3,14,5,1,25,6,28,14,0,2,6,0,0,0,0.714,1,0,0
com.serotonin.mango.rt.dataImage.types.AlphanumericValue,AlphanumericValue,low-medium,low,low-medium,medium-high,1,18,5,2,0,25,65,63,1,0,14,0,0,0,0.743,0.769,0,0
com.serotonin.mango.vo.permission.Permissions,Permissions,medium-high,medium-high,low-medium,medium-high,14,54,33,1,0,69,137,124,0,0,1,26,0,0,0.748,0,5,0
com.serotonin.mango.web.dwr.ViewDwr,ViewDwr,high,high,medium-high,medium-high,24,156,61,2,0,54,374,167,0,0,20,0,0,0,0.761,0,6,0
com.serotonin.mango.rt.dataImage.types.MangoValue,MangoValue,low-medium,low-medium,low,medium-high,6,20,5,1,5,24,41,40,0,0,9,3,0,0,0.764,0,0,0
com.serotonin.mango.rt.dataImage.types.MultistateValue,MultistateValue,low-medium,low,low-medium,medium-high,1,18,4,2,0,23,62,60,1,0,14,1,0,0,0.778,0.657,0,0
com.serotonin.mango.vo.dataSource.openv4j.OpenV4JPointLocatorVO,OpenV4JPointLocatorVO,low-medium,low,low-medium,medium-high,3,16,3,2,0,24,75,61,0,2,13,0,0,0,0.78,1,0,0
com.serotonin.mango.rt.dataImage.types.NumericValue,NumericValue,low-medium,low,low-medium,medium-high,1,21,6,2,0,22,66,64,1,0,15,1,0,0,0.781,0.625,0,0
com.serotonin.mango.view.stats.ValueChangeCounter,ValueChangeCounter,low,low,low,medium-high,4,13,7,1,0,12,39,36,2,0,8,1,0,0.5,0.704,0.889,1,0
com.serotonin.mango.vo.mailingList.UserEntry,UserEntry,low-medium,low,low-medium,medium-high,2,26,7,2,0,14,51,34,2,0,10,0,0,0.5,0.72,0.578,1,0
